Mapped_sgRNA_sequence	Chrom	Start	End	Strand
4|sgRERE_4|RERE	chr1	8541256	8541276	-
4|sgRERE_3|RERE	chr1	8624357	8624377	-
4|sgENO1_3|ENO1	chr1	8865410	8865430	-
4|sgENO1_2|ENO1	chr1	8866324	8866344	-
4|sgENO1_4|ENO1	chr1	8868008	8868028	-
4|sgENO1_1|ENO1	chr1	8870442	8870462	+
4|sgCA6_1|CA6	chr1	8949322	8949342	+
4|sgCA6_4|CA6	chr1	8949419	8949439	-
4|sgCA6_2|CA6	chr1	8957263	8957283	+
4|sgCA6_3|CA6	chr1	8958980	8959000	+
4|sgSLC2A7_4|SLC2A7	chr1	9013622	9013642	-
4|sgSLC2A7_1|SLC2A7	chr1	9015118	9015138	-
4|sgSLC2A7_3|SLC2A7	chr1	9018274	9018294	+
4|sgSLC2A7_2|SLC2A7	chr1	9024980	9025000	+
4|sgSLC2A5_1|SLC2A5	chr1	9041778	9041798	+
4|sgSLC2A5_2|SLC2A5	chr1	9041904	9041924	-
4|sgSLC2A5_4|SLC2A5	chr1	9057474	9057494	-
4|sgSLC2A5_3|SLC2A5	chr1	9058177	9058197	-
4|sgGPR157_1|GPR157	chr1	9111273	9111293	-
4|sgGPR157_2|GPR157	chr1	9111368	9111388	-
4|sgGPR157_3|GPR157	chr1	9128709	9128729	+
4|sgGPR157_4|GPR157	chr1	9128782	9128802	+
4|sgH6PD_1|H6PD	chr1	9245076	9245096	+
4|sgH6PD_3|H6PD	chr1	9245531	9245551	+
4|sgH6PD_2|H6PD	chr1	9263518	9263538	+
4|sgH6PD_4|H6PD	chr1	9263819	9263839	-
4|sgSPSB1_3|SPSB1	chr1	9356025	9356045	-
4|sgSPSB1_1|SPSB1	chr1	9356134	9356154	+
4|sgSPSB1_2|SPSB1	chr1	9356181	9356201	+
4|sgSPSB1_4|SPSB1	chr1	9356270	9356290	+
4|sgSLC25A33_3|SLC25A33	chr1	9553611	9553631	+
4|sgSLC25A33_1|SLC25A33	chr1	9553687	9553707	+
4|sgSLC25A33_4|SLC25A33	chr1	9567280	9567300	+
3|sgRPL9_CC_2|RPL9_PosCtrl	chr1	9576601	9576621	+
4|sgSLC25A33_2|SLC25A33	chr1	9579986	9580006	-
4|sgTMEM201_4|TMEM201	chr1	9595889	9595909	+
4|sgTMEM201_2|TMEM201	chr1	9601117	9601137	-
4|sgTMEM201_1|TMEM201	chr1	9602154	9602174	-
4|sgTMEM201_3|TMEM201	chr1	9607619	9607639	-
4|sgC1orf200_4|C1orf200	chr1	9653811	9653831	+
4|sgC1orf200_3|C1orf200	chr1	9653902	9653922	+
4|sgC1orf200_2|C1orf200	chr1	9654228	9654248	-
4|sgC1orf200_1|C1orf200	chr1	9654427	9654447	+
4|sgPIK3CD_1|PIK3CD	chr1	9715900	9715920	+
4|sgPIK3CD_2|PIK3CD	chr1	9716515	9716535	-
4|sgPIK3CD_4|PIK3CD	chr1	9720145	9720165	+
4|sgPIK3CD_3|PIK3CD	chr1	9721209	9721229	-
4|sgCLSTN1_4|CLSTN1	chr1	9735545	9735565	+
4|sgCLSTN1_2|CLSTN1	chr1	9741114	9741134	-
4|sgCLSTN1_3|CLSTN1	chr1	9743924	9743944	+
4|sgCLSTN1_1|CLSTN1	chr1	9744463	9744483	+
4|sgCTNNBIP1_2|CTNNBIP1	chr1	9871238	9871258	-
4|sgCTNNBIP1_3|CTNNBIP1	chr1	9871264	9871284	-
4|sgCTNNBIP1_1|CTNNBIP1	chr1	9872030	9872050	-
4|sgCTNNBIP1_4|CTNNBIP1	chr1	9872043	9872063	-
4|sgLZIC_3|LZIC	chr1	9932878	9932898	-
4|sgLZIC_2|LZIC	chr1	9934773	9934793	-
4|sgLZIC_1|LZIC	chr1	9934803	9934823	+
4|sgLZIC_4|LZIC	chr1	9936531	9936551	-
4|sgNMNAT1_3|NMNAT1	chr1	9975652	9975672	+
4|sgNMNAT1_2|NMNAT1	chr1	9981030	9981050	+
4|sgNMNAT1_4|NMNAT1	chr1	9982373	9982393	+
4|sgRBP7_2|RBP7	chr1	10007615	10007635	+
4|sgRBP7_4|RBP7	chr1	10007650	10007670	+
4|sgRBP7_3|RBP7	chr1	10007703	10007723	+
4|sgRBP7_1|RBP7	chr1	10007726	10007746	+
4|sgUBE4B_4|UBE4B	chr1	10095555	10095575	+
4|sgUBE4B_3|UBE4B	chr1	10130791	10130811	+
4|sgUBE4B_2|UBE4B	chr1	10135133	10135153	+
4|sgUBE4B_1|UBE4B	chr1	10147078	10147098	-
4|sgKIF1B_2|KIF1B	chr1	10267465	10267485	+
4|sgKIF1B_4|KIF1B	chr1	10276362	10276382	-
4|sgKIF1B_1|KIF1B	chr1	10296614	10296634	+
4|sgKIF1B_3|KIF1B	chr1	10326256	10326276	+
4|sgPGD_3|PGD	chr1	10403088	10403108	+
4|sgPGD_1|PGD	chr1	10404257	10404277	+
4|sgPGD_4|PGD	chr1	10411441	10411461	+
4|sgPGD_2|PGD	chr1	10413218	10413238	-
4|sgAPITD1_4|APITD1	chr1	10433849	10433869	+
4|sgAPITD1-CORT_3|APITD1-CORT	chr1	10433850	10433870	+
4|sgAPITD1-CORT_4|APITD1-CORT	chr1	10433912	10433932	+
4|sgAPITD1_2|APITD1	chr1	10433929	10433949	-
4|sgAPITD1-CORT_2|APITD1-CORT	chr1	10433943	10433963	+
4|sgAPITD1_1|APITD1	chr1	10440396	10440416	-
4|sgCORT_1|CORT	chr1	10450236	10450256	-
4|sgCORT_3|CORT	chr1	10450243	10450263	+
4|sgCORT_4|CORT	chr1	10450277	10450297	+
4|sgCORT_2|CORT	chr1	10450300	10450320	+
4|sgAPITD1-CORT_1|APITD1-CORT	chr1	10451414	10451434	-
4|sgDFFA_2|DFFA	chr1	10463514	10463534	-
4|sgDFFA_3|DFFA	chr1	10467200	10467220	-
4|sgDFFA_4|DFFA	chr1	10469214	10469234	+
4|sgDFFA_1|DFFA	chr1	10472363	10472383	-
4|sgPEX14_3|PEX14	chr1	10495309	10495329	-
4|sgPEX14_2|PEX14	chr1	10599234	10599254	-
4|sgPEX14_4|PEX14	chr1	10599344	10599364	-
4|sgPEX14_1|PEX14	chr1	10629584	10629604	-
4|sgCASZ1_1|CASZ1	chr1	10654505	10654525	-
4|sgCASZ1_4|CASZ1	chr1	10659688	10659708	+
4|sgCASZ1_2|CASZ1	chr1	10660020	10660040	-
4|sgCASZ1_3|CASZ1	chr1	10660453	10660473	-
4|sgC1orf127_4|C1orf127	chr1	10948547	10948567	+
4|sgC1orf127_2|C1orf127	chr1	10954037	10954057	+
4|sgC1orf127_1|C1orf127	chr1	10957034	10957054	+
4|sgC1orf127_3|C1orf127	chr1	10964146	10964166	-
4|sgTARDBP_1|TARDBP	chr1	11016984	11017004	-
4|sgTARDBP_2|TARDBP	chr1	11018823	11018843	+
4|sgTARDBP_3|TARDBP	chr1	11020508	11020528	+
4|sgTARDBP_4|TARDBP	chr1	11022125	11022145	+
4|sgMASP2_2|MASP2	chr1	11027604	11027624	-
4|sgMASP2_1|MASP2	chr1	11034817	11034837	+
4|sgMASP2_3|MASP2	chr1	11046583	11046603	-
4|sgMASP2_4|MASP2	chr1	11046892	11046912	+
4|sgSRM_1|SRM	chr1	11056605	11056625	-
4|sgSRM_2|SRM	chr1	11056681	11056701	-
4|sgSRM_4|SRM	chr1	11058801	11058821	-
4|sgSRM_3|SRM	chr1	11059298	11059318	-
4|sgEXOSC10_2|EXOSC10	chr1	11079795	11079815	+
4|sgEXOSC10_1|EXOSC10	chr1	11087435	11087455	+
4|sgEXOSC10_4|EXOSC10	chr1	11090590	11090610	+
4|sgEXOSC10_3|EXOSC10	chr1	11091489	11091509	-
4|sgANGPTL7_2|ANGPTL7	chr1	11189631	11189651	+
4|sgANGPTL7_1|ANGPTL7	chr1	11189698	11189718	+
4|sgANGPTL7_4|ANGPTL7	chr1	11189788	11189808	+
4|sgANGPTL7_3|ANGPTL7	chr1	11193660	11193680	+
4|sgMTOR_1|MTOR	chr1	11209396	11209416	-
4|sgMTOR_2|MTOR	chr1	11228769	11228789	+
4|sgMTOR_4|MTOR	chr1	11238569	11238589	+
4|sgMTOR_3|MTOR	chr1	11247984	11248004	+
4|sgUBIAD1_4|UBIAD1	chr1	11273609	11273629	-
4|sgUBIAD1_3|UBIAD1	chr1	11273915	11273935	-
4|sgUBIAD1_2|UBIAD1	chr1	11273991	11274011	-
4|sgUBE2V2_1|UBE2V2	chr1	11279188	11279208	-
4|sgUBIAD1_1|UBIAD1	chr1	11285641	11285661	+
1|Neg_Control_Human_GA_0270|NegCtrl	chr1	11353518	11353538	+
4|sgPTCHD2_2|PTCHD2	chr1	11501338	11501358	-
4|sgPTCHD2_1|PTCHD2	chr1	11501543	11501563	+
4|sgPTCHD2_3|PTCHD2	chr1	11502036	11502056	+
4|sgPTCHD2_4|PTCHD2	chr1	11514421	11514441	+
4|sgFBXO2_1|FBXO2	chr1	11649928	11649948	+
4|sgFBXO2_2|FBXO2	chr1	11650471	11650491	-
4|sgFBXO2_4|FBXO2	chr1	11650510	11650530	+
4|sgFBXO2_3|FBXO2	chr1	11650580	11650600	+
4|sgFBXO44_1|FBXO44	chr1	11655954	11655974	-
4|sgFBXO44_3|FBXO44	chr1	11658280	11658300	+
4|sgFBXO44_2|FBXO44	chr1	11658582	11658602	+
4|sgFBXO44_4|FBXO44	chr1	11658789	11658809	+
4|sgFBXO6_3|FBXO6	chr1	11668900	11668920	-
4|sgFBXO6_4|FBXO6	chr1	11671337	11671357	-
4|sgFBXO6_2|FBXO6	chr1	11671990	11672010	+
4|sgFBXO6_1|FBXO6	chr1	11673332	11673352	-
4|sgMAD2L2_1|MAD2L2	chr1	11676881	11676901	+
4|sgMAD2L2_4|MAD2L2	chr1	11677583	11677603	+
4|sgMAD2L2_3|MAD2L2	chr1	11680395	11680415	-
4|sgMAD2L2_2|MAD2L2	chr1	11680563	11680583	-
4|sgDRAXIN_2|DRAXIN	chr1	11706617	11706637	-
4|sgDRAXIN_1|DRAXIN	chr1	11706687	11706707	+
4|sgDRAXIN_4|DRAXIN	chr1	11709381	11709401	-
4|sgDRAXIN_3|DRAXIN	chr1	11711852	11711872	+
4|sgAGTRAP_2|AGTRAP	chr1	11736216	11736236	+
4|sgAGTRAP_1|AGTRAP	chr1	11747523	11747543	+
4|sgAGTRAP_3|AGTRAP	chr1	11748477	11748497	-
4|sgAGTRAP_4|AGTRAP	chr1	11748503	11748523	-
4|sgC1orf167_2|C1orf167	chr1	11766035	11766055	+
4|sgC1orf167_3|C1orf167	chr1	11766351	11766371	-
4|sgC1orf167_1|C1orf167	chr1	11766720	11766740	-
4|sgC1orf167_4|C1orf167	chr1	11768253	11768273	+
4|sgMTHFR_3|MTHFR	chr1	11794759	11794779	-
4|sgMTHFR_2|MTHFR	chr1	11796252	11796272	+
4|sgMTHFR_4|MTHFR	chr1	11800271	11800291	-
4|sgMTHFR_1|MTHFR	chr1	11801276	11801296	-
4|sgCLCN6_3|CLCN6	chr1	11816613	11816633	+
4|sgCLCN6_1|CLCN6	chr1	11823714	11823734	+
4|sgCLCN6_4|CLCN6	chr1	11829210	11829230	-
4|sgCLCN6_2|CLCN6	chr1	11834253	11834273	-
4|sgNPPA_1|NPPA	chr1	11847299	11847319	+
4|sgNPPA_3|NPPA	chr1	11847352	11847372	-
4|sgNPPA_2|NPPA	chr1	11847605	11847625	+
4|sgNPPA_4|NPPA	chr1	11847642	11847662	+
4|sgNPPB_4|NPPB	chr1	11858337	11858357	-
4|sgNPPB_2|NPPB	chr1	11858710	11858730	-
4|sgNPPB_1|NPPB	chr1	11858718	11858738	+
4|sgNPPB_3|NPPB	chr1	11858748	11858768	+
4|sgKIAA2013_4|KIAA2013	chr1	11923317	11923337	-
4|sgKIAA2013_3|KIAA2013	chr1	11923439	11923459	+
4|sgKIAA2013_1|KIAA2013	chr1	11925650	11925670	-
4|sgKIAA2013_2|KIAA2013	chr1	11925965	11925985	+
4|sgPLOD1_1|PLOD1	chr1	11950358	11950378	+
4|sgPLOD1_3|PLOD1	chr1	11954828	11954848	+
4|sgPLOD1_2|PLOD1	chr1	11957838	11957858	+
4|sgPLOD1_4|PLOD1	chr1	11964246	11964266	+
1|Neg_Control_Human_0027|NegCtrl	chr1	11980238	11980258	+
4|sgMFN2_4|MFN2	chr1	11996214	11996234	-
4|sgMFN2_1|MFN2	chr1	11997406	11997426	-
4|sgMFN2_2|MFN2	chr1	11999037	11999057	+
4|sgMFN2_3|MFN2	chr1	12004081	12004101	+
4|sgMIIP_1|MIIP	chr1	12022204	12022224	+
4|sgMIIP_4|MIIP	chr1	12022404	12022424	-
4|sgMIIP_3|MIIP	chr1	12029093	12029113	+
4|sgMIIP_2|MIIP	chr1	12029780	12029800	-
4|sgTNFRSF8_4|TNFRSF8	chr1	12104367	12104387	+
4|sgTNFRSF8_1|TNFRSF8	chr1	12110136	12110156	+
4|sgTNFRSF8_3|TNFRSF8	chr1	12115638	12115658	-
4|sgTNFRSF8_2|TNFRSF8	chr1	12123803	12123823	-
4|sgTNFRSF1B_2|TNFRSF1B	chr1	12190993	12191013	+
4|sgTNFRSF1B_4|TNFRSF1B	chr1	12191780	12191800	+
4|sgTNFRSF1B_1|TNFRSF1B	chr1	12192428	12192448	+
4|sgTNFRSF1B_3|TNFRSF1B	chr1	12192975	12192995	-
4|sgVPS13D_4|VPS13D	chr1	12273086	12273106	-
4|sgVPS13D_3|VPS13D	chr1	12291071	12291091	+
4|sgVPS13D_2|VPS13D	chr1	12308500	12308520	+
4|sgVPS13D_1|VPS13D	chr1	12319585	12319605	-
4|sgDHRS3_4|DHRS3	chr1	12578847	12578867	+
4|sgDHRS3_2|DHRS3	chr1	12579375	12579395	-
4|sgDHRS3_1|DHRS3	chr1	12580632	12580652	-
4|sgDHRS3_3|DHRS3	chr1	12617274	12617294	-
4|sgAADACL4_1|AADACL4	chr1	12644637	12644657	-
4|sgAADACL4_2|AADACL4	chr1	12644704	12644724	-
4|sgAADACL4_4|AADACL4	chr1	12651225	12651245	-
4|sgAADACL4_3|AADACL4	chr1	12651287	12651307	-
4|sgAADACL3_4|AADACL3	chr1	12719543	12719563	-
4|sgAADACL3_3|AADACL3	chr1	12719645	12719665	+
4|sgAADACL3_1|AADACL3	chr1	12725227	12725247	-
4|sgAADACL3_2|AADACL3	chr1	12725338	12725358	+
4|sgC1orf158_4|C1orf158	chr1	12746460	12746480	-
4|sgC1orf158_3|C1orf158	chr1	12759354	12759374	-
4|sgC1orf158_2|C1orf158	chr1	12759378	12759398	+
4|sgC1orf158_1|C1orf158	chr1	12759428	12759448	-
4|sgPRAMEF12_3|PRAMEF12	chr1	12775072	12775092	-
4|sgPRAMEF12_1|PRAMEF12	chr1	12775687	12775707	-
4|sgPRAMEF12_2|PRAMEF12	chr1	12775833	12775853	+
4|sgPRAMEF12_4|PRAMEF12	chr1	12777025	12777045	-
4|sgPRAMEF1_2|PRAMEF1	chr1	12795621	12795641	+
4|sgPRAMEF1_1|PRAMEF1	chr1	12795712	12795732	-
4|sgPRAMEF6_3|PRAMEF6	chr1	12827393	12827413	-
4|sgPRAMEF11_3|PRAMEF11	chr1	12827408	12827428	+
4|sgPRAMEF11_1|PRAMEF11	chr1	12827659	12827679	+
4|sgPRAMEF4_1|PRAMEF4	chr1	12827714	12827734	-
4|sgPRAMEF11_2|PRAMEF11	chr1	12828666	12828686	+
4|sgHNRNPCL1_1|HNRNPCL1	chr1	12847789	12847809	-
4|sgHNRNPCL4_3|HNRNPCL4	chr1	12847827	12847847	-
4|sgHNRNPCL1_3|HNRNPCL1	chr1	12847843	12847863	+
4|sgHNRNPCL2_1|HNRNPCL2	chr1	12847867	12847887	+
4|sgHNRNPCL2_3|HNRNPCL2	chr1	12847968	12847988	+
4|sgHNRNPCL1_4|HNRNPCL1	chr1	12848033	12848053	-
4|sgPRAMEF2_2|PRAMEF2	chr1	12859113	12859133	+
4|sgPRAMEF2_3|PRAMEF2	chr1	12859200	12859220	-
4|sgPRAMEF13_4|PRAMEF13	chr1	12859263	12859283	+
4|sgPRAMEF2_1|PRAMEF2	chr1	12860007	12860027	+
4|sgPRAMEF2_4|PRAMEF2	chr1	12861256	12861276	+
4|sgPRAMEF4_4|PRAMEF4	chr1	12880071	12880091	+
4|sgPRAMEF4_2|PRAMEF4	chr1	12881998	12882018	-
4|sgPRAMEF4_3|PRAMEF4	chr1	12883114	12883134	-
4|sgPRAMEF10_4|PRAMEF10	chr1	12893412	12893432	-
4|sgLOC645382_2|LOC645382	chr1	12893457	12893477	+
4|sgLOC645382_4|LOC645382	chr1	12894669	12894689	+
4|sgLOC645382_1|LOC645382	chr1	12895599	12895619	-
4|sgPRAMEF10_3|PRAMEF10	chr1	12895765	12895785	-
4|sgPRAMEF7_2|PRAMEF7	chr1	12917802	12917822	-
4|sgPRAMEF8_2|PRAMEF8	chr1	12918712	12918732	-
4|sgPRAMEF8_4|PRAMEF8	chr1	12918806	12918826	+
4|sgPRAMEF14_2|PRAMEF14	chr1	12926724	12926744	+
4|sgPRAMEF5_4|PRAMEF5	chr1	12941038	12941058	+
4|sgPRAMEF9_3|PRAMEF9	chr1	12941111	12941131	+
4|sgPRAMEF6_1|PRAMEF6	chr1	12942228	12942248	-
4|sgPRAMEF22_3|PRAMEF22	chr1	13005577	13005597	-
4|sgLOC400736_2|LOC400736	chr1	13030161	13030181	+
4|sgLOC101929983_3|LOC101929983	chr1	13052262	13052282	-
4|sgLOC101929983_1|LOC101929983	chr1	13052478	13052498	-
4|sgPRAMEF9_2|PRAMEF9	chr1	13052599	13052619	-
4|sgLOC101929983_4|LOC101929983	chr1	13052620	13052640	-
4|sgLOC101929983_2|LOC101929983	chr1	13053505	13053525	-
4|sgHNRNPCL4_4|HNRNPCL4	chr1	13061374	13061394	-
4|sgHNRNPCL3_2|HNRNPCL3	chr1	13061557	13061577	-
4|sgHNRNPCL4_1|HNRNPCL4	chr1	13061588	13061608	+
4|sgPRAMEF15_4|PRAMEF15	chr1	13074871	13074891	-
4|sgPRAMEF5_2|PRAMEF5	chr1	13075093	13075113	-
4|sgPRAMEF9_4|PRAMEF9	chr1	13075165	13075185	-
4|sgHNRNPCL3_1|HNRNPCL3	chr1	13115943	13115963	+
4|sgHNRNPCL2_2|HNRNPCL2	chr1	13116147	13116167	+
4|sgHNRNPCL2_4|HNRNPCL2	chr1	13116303	13116323	-
4|sgPRAMEF1_4|PRAMEF1	chr1	13131177	13131197	-
4|sgPRAMEF11_4|PRAMEF11	chr1	13149764	13149784	+
4|sgPRAMEF5_1|PRAMEF5	chr1	13149781	13149801	+
4|sgHNRNPCL3_4|HNRNPCL3	chr1	13165104	13165124	-
4|sgHNRNPCL4_2|HNRNPCL4	chr1	13165119	13165139	-
4|sgHNRNPCL3_3|HNRNPCL3	chr1	13165153	13165173	-
4|sgHNRNPCL1_2|HNRNPCL1	chr1	13165163	13165183	-
4|sgPRAMEF6_4|PRAMEF6	chr1	13176298	13176318	+
4|sgPRAMEF1_3|PRAMEF1	chr1	13197906	13197926	+
4|sgLOC400736_1|LOC400736	chr1	13198382	13198402	+
4|sgPRAMEF13_3|PRAMEF13	chr1	13199579	13199599	-
4|sgPRAMEF13_2|PRAMEF13	chr1	13223570	13223590	+
4|sgLOC391003_3|LOC391003	chr1	13223849	13223869	-
4|sgPRAMEF22_4|PRAMEF22	chr1	13223888	13223908	-
4|sgLOC391003_4|LOC391003	chr1	13224894	13224914	+
4|sgPRAMEF18_3|PRAMEF18	chr1	13225814	13225834	+
4|sgPRAMEF6_2|PRAMEF6	chr1	13260422	13260442	+
4|sgPRAMEF16_4|PRAMEF16	chr1	13275509	13275529	-
4|sgPRAMEF8_3|PRAMEF8	chr1	13281895	13281915	+
4|sgPRAMEF7_3|PRAMEF7	chr1	13281898	13281918	+
4|sgPRAMEF7_4|PRAMEF7	chr1	13283117	13283137	+
4|sgPRAMEF7_1|PRAMEF7	chr1	13283336	13283356	-
4|sgPRAMEF8_1|PRAMEF8	chr1	13283961	13283981	+
4|sgLOC645382_3|LOC645382	chr1	13306034	13306054	+
4|sgPRAMEF10_2|PRAMEF10	chr1	13306196	13306216	+
4|sgPRAMEF10_1|PRAMEF10	chr1	13307086	13307106	+
4|sgPRAMEF15_2|PRAMEF15	chr1	13318475	13318495	+
4|sgPRAMEF15_3|PRAMEF15	chr1	13319368	13319388	-
4|sgPRAMEF5_3|PRAMEF5	chr1	13319451	13319471	+
4|sgPRAMEF9_1|PRAMEF9	chr1	13319580	13319600	-
4|sgPRAMEF13_1|PRAMEF13	chr1	13342746	13342766	-
4|sgLOC400736_4|LOC400736	chr1	13343030	13343050	-
4|sgPRAMEF22_2|PRAMEF22	chr1	13344026	13344046	+
4|sgPRAMEF14_4|PRAMEF14	chr1	13344162	13344182	+
4|sgPRAMEF14_1|PRAMEF14	chr1	13344395	13344415	-
4|sgPRAMEF14_3|PRAMEF14	chr1	13345160	13345180	+
4|sgLOC400736_3|LOC400736	chr1	13345181	13345201	+
4|sgPRAMEF18_1|PRAMEF18	chr1	13369408	13369428	-
4|sgPRAMEF18_4|PRAMEF18	chr1	13370637	13370657	+
4|sgPRAMEF19_3|PRAMEF19	chr1	13370703	13370723	+
4|sgLOC391003_1|LOC391003	chr1	13370821	13370841	-
4|sgPRAMEF19_1|PRAMEF19	chr1	13370847	13370867	-
4|sgLOC391003_2|LOC391003	chr1	13370990	13371010	-
4|sgPRAMEF19_4|PRAMEF19	chr1	13371036	13371056	-
4|sgPRAMEF19_2|PRAMEF19	chr1	13371752	13371772	-
4|sgPRAMEF18_2|PRAMEF18	chr1	13371890	13371910	-
4|sgPRAMEF16_1|PRAMEF16	chr1	13390438	13390458	-
4|sgPRAMEF17_2|PRAMEF17	chr1	13390450	13390470	+
4|sgPRAMEF17_4|PRAMEF17	chr1	13390592	13390612	-
4|sgPRAMEF17_3|PRAMEF17	chr1	13390774	13390794	-
4|sgPRAMEF17_1|PRAMEF17	chr1	13391958	13391978	-
4|sgPRAMEF16_2|PRAMEF16	chr1	13392069	13392089	-
4|sgPRAMEF16_3|PRAMEF16	chr1	13392076	13392096	+
4|sgPRAMEF20_1|PRAMEF20	chr1	13416465	13416485	-
4|sgPRAMEF15_1|PRAMEF15	chr1	13418243	13418263	+
4|sgPRAMEF20_2|PRAMEF20	chr1	13418334	13418354	+
4|sgPRAMEF20_3|PRAMEF20	chr1	13418497	13418517	+
4|sgPRAMEF20_4|PRAMEF20	chr1	13420710	13420730	-
1|Neg_Control_Human_GA_0463|NegCtrl	chr1	13506771	13506791	+
4|sgLRRC38_4|LRRC38	chr1	13513032	13513052	+
4|sgLRRC38_3|LRRC38	chr1	13513172	13513192	-
4|sgLRRC38_2|LRRC38	chr1	13513376	13513396	-
4|sgLRRC38_1|LRRC38	chr1	13513408	13513428	+
4|sgPDPN_3|PDPN	chr1	13583958	13583978	-
4|sgPDPN_1|PDPN	chr1	13584016	13584036	+
4|sgPDPN_2|PDPN	chr1	13607189	13607209	+
4|sgPDPN_4|PDPN	chr1	13607281	13607301	-
4|sgPRDM2_2|PRDM2	chr1	13749380	13749400	+
4|sgPRDM2_1|PRDM2	chr1	13779980	13780000	+
4|sgPRDM2_4|PRDM2	chr1	13780414	13780434	-
4|sgPRDM2_3|PRDM2	chr1	13780726	13780746	-
4|sgRNF169_1|RNF169	chr1	14995646	14995666	-
4|sgKAZN_3|KAZN	chr1	15056098	15056118	+
4|sgKAZN_4|KAZN	chr1	15065626	15065646	-
4|sgKAZN_1|KAZN	chr1	15065745	15065765	-
4|sgKAZN_2|KAZN	chr1	15094333	15094353	+
4|sgC1orf195_4|C1orf195	chr1	15168633	15168653	-
4|sgC1orf195_3|C1orf195	chr1	15168685	15168705	+
4|sgC1orf195_2|C1orf195	chr1	15168747	15168767	+
4|sgC1orf195_1|C1orf195	chr1	15171193	15171213	+
4|sgTMEM51_2|TMEM51	chr1	15215133	15215153	-
4|sgTMEM51_4|TMEM51	chr1	15215221	15215241	+
4|sgTMEM51_3|TMEM51	chr1	15219360	15219380	-
4|sgTMEM51_1|TMEM51	chr1	15219398	15219418	+
4|sgFHAD1_1|FHAD1	chr1	15272423	15272443	+
4|sgFHAD1_2|FHAD1	chr1	15313176	15313196	-
4|sgFHAD1_3|FHAD1	chr1	15324524	15324544	+
4|sgFHAD1_4|FHAD1	chr1	15345417	15345437	+
4|sgEFHD2_4|EFHD2	chr1	15425863	15425883	+
4|sgEFHD2_3|EFHD2	chr1	15425903	15425923	+
4|sgEFHD2_2|EFHD2	chr1	15425957	15425977	+
4|sgEFHD2_1|EFHD2	chr1	15425996	15426016	+
4|sgCTRC_1|CTRC	chr1	15440502	15440522	+
4|sgCTRC_2|CTRC	chr1	15442446	15442466	+
4|sgCTRC_4|CTRC	chr1	15442514	15442534	-
4|sgCTRC_3|CTRC	chr1	15442563	15442583	-
4|sgCELA2A_2|CELA2A	chr1	15457113	15457133	-
4|sgCELA2A_1|CELA2A	chr1	15461570	15461590	+
4|sgCELA2A_3|CELA2A	chr1	15462762	15462782	+
4|sgCELA2A_4|CELA2A	chr1	15465984	15466004	+
4|sgCELA2B_4|CELA2B	chr1	15476477	15476497	+
4|sgCELA2B_3|CELA2B	chr1	15476488	15476508	+
4|sgCELA2B_1|CELA2B	chr1	15481107	15481127	+
4|sgCELA2B_2|CELA2B	chr1	15482335	15482355	-
4|sgCASP9_2|CASP9	chr1	15504688	15504708	+
4|sgCASP9_1|CASP9	chr1	15518135	15518155	-
4|sgCASP9_3|CASP9	chr1	15518185	15518205	+
4|sgCASP9_4|CASP9	chr1	15524069	15524089	+
4|sgDNAJC16_3|DNAJC16	chr1	15534281	15534301	+
4|sgDNAJC16_2|DNAJC16	chr1	15536742	15536762	-
4|sgDNAJC16_1|DNAJC16	chr1	15544435	15544455	+
4|sgDNAJC16_4|DNAJC16	chr1	15559631	15559651	+
4|sgAGMAT_3|AGMAT	chr1	15578923	15578943	-
4|sgAGMAT_2|AGMAT	chr1	15579001	15579021	-
4|sgAGMAT_4|AGMAT	chr1	15583175	15583195	+
4|sgAGMAT_1|AGMAT	chr1	15583333	15583353	-
4|sgDDI2_2|DDI2	chr1	15626658	15626678	+
4|sgDDI2_1|DDI2	chr1	15630332	15630352	-
4|sgDDI2_3|DDI2	chr1	15630443	15630463	-
4|sgDDI2_4|DDI2	chr1	15630507	15630527	-
4|sgRSC1A1_4|RSC1A1	chr1	15659994	15660014	-
4|sgRSC1A1_2|RSC1A1	chr1	15660223	15660243	-
4|sgRSC1A1_1|RSC1A1	chr1	15660428	15660448	+
4|sgRSC1A1_3|RSC1A1	chr1	15661007	15661027	+
4|sgPLEKHM2_2|PLEKHM2	chr1	15718558	15718578	-
4|sgPLEKHM2_4|PLEKHM2	chr1	15719828	15719848	-
4|sgPLEKHM2_3|PLEKHM2	chr1	15727615	15727635	+
4|sgPLEKHM2_1|PLEKHM2	chr1	15727802	15727822	-
4|sgSLC25A34_2|SLC25A34	chr1	15736632	15736652	-
4|sgSLC25A34_1|SLC25A34	chr1	15736730	15736750	-
4|sgSLC25A34_4|SLC25A34	chr1	15736776	15736796	+
4|sgSLC25A34_3|SLC25A34	chr1	15738173	15738193	-
4|sgTMEM82_3|TMEM82	chr1	15742609	15742629	-
4|sgTMEM82_4|TMEM82	chr1	15742850	15742870	-
4|sgTMEM82_2|TMEM82	chr1	15743138	15743158	-
4|sgTMEM82_1|TMEM82	chr1	15744365	15744385	+
4|sgFBLIM1_1|FBLIM1	chr1	15765125	15765145	-
4|sgFBLIM1_2|FBLIM1	chr1	15765211	15765231	+
4|sgFBLIM1_3|FBLIM1	chr1	15768556	15768576	+
4|sgFBLIM1_4|FBLIM1	chr1	15770557	15770577	-
